,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,artist
0,16,42,283,386,476,521,550,550,557,557,557,576,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,606,608,609,617,617,617,617,619,619,619,619,619,619,619,619,619,619,619,619,619,622,623,634,634,634,687,702,709,723,735,742,755,758,765,769,776,776,776,778,783,784,785,786,786,788,789,789,790,790,791,791,791,793,885,921,950,954,962,965,968,970,970,976,994,994,995,996,997,J Rabbit
1,0,4,34,34,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Sakamichi No Apollon
2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Igor Stravinsky
3,0,5,24,32,33,33,33,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,43,43,43,43,44,47,47,47,47,47,79,79,79,79,79,79,79,79,79,79,79,82,82,82,82,82,82,82,82,84,84,84,84,84,84,84,84,84,86,86,86,86,86,110,110,115,117,125,129,138,150,155,156,158,159,159,163,168,170,172,177,180,181,184,185,185,185,188,190,194,198,198,The Dave Brubeck Quartet
4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Myung-Whun/Orchestre de la Bastille, Y. Loriod(p), J. Loriod(Ondes Martenot)"
5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lorin Maazel · Wiener Philharm
6,0,1,2,2,2,2,2,2,2,2,2,2,2,3,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Exile
7,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,福山雅治
8,0,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Kayano Ai & Tomatsu Haruka & Hayami Saori
9,0,12,12,14,32,32,32,32,36,36,36,48,55,55,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,82,82,82,82,82,96,96,102,102,102,102,102,102,102,102,102,102,102,102,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,108,108,108,110,110,113,119,119,119,119,119,119,119,121,123,124,125,126,127,127,128,128,129,133,133,133,133,133,133,135,135,135,135,Clara C
10,0,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,50,50,50,50,81,89,89,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,94,94,94,98,98,98,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,114,122,131,138,150,156,168,174,177,181,183,183,187,191,192,196,201,203,203,204,205,217,220,225,229,232,233,233,Novos Baianos
