date,name,value,rank,lastValue
2020-01-01,Anderson .Paak,0,13,0
2020-01-01,Antônio Carlos Jobim,0,28,0
2020-01-01,Arctic Monkeys,0,30,0
2020-01-01,Babu Santana,0,31,0
2020-01-01,Baco Exu do Blues,0,32,0
2020-01-01,Castlebeat,0,33,0
2020-01-01,Chico Buarque,0,34,0
2020-01-01,Chihiro Yamanaka,0,35,0
2020-01-01,Christian McBride,0,36,0
2020-01-01,Cory Wong,0,37,0
2020-01-01,Daft Punk,0,38,0
2020-01-01,Emicida,0,39,0
2020-01-01,Fitz and the Tantrums,0,40,0
2020-01-01,Foster the People,0,29,0
2020-01-01,Gen Hoshino,0,41,0
2020-01-01,Guru Woof Música Relaxante Para Crianças,0,43,0
2020-01-01,Hermeto Pascoal,0,44,0
2020-01-01,Hiromi,0,45,0
2020-01-01,J Rabbit,0,46,0
2020-01-01,Jamiroquai,0,47,0
2020-01-01,Jimi Hendrix,0,48,0
2020-01-01,Jimmy Ponder,0,49,0
2020-01-01,John Mayer,0,50,0
2020-01-01,KT Tunstall,0,51,0
2020-01-01,Kenshi Yonezu,0,52,0
2020-01-01,Khruangbin,0,53,0
2020-01-01,Kristen Bell,0,42,0
2020-01-01,Novos Baianos,0,27,0
2020-01-01,OKAMOTO'S,0,14,0
2020-01-01,Oscar Peterson,1,0,0
2020-01-01,Phoenix,0,3,0
2020-01-01,Pomplamoose,0,4,0
2020-01-01,Public Enemy,0,5,0
2020-01-01,Rage Against the Machine,0,6,0
2020-01-01,Red Hot Chili Peppers,1,1,0
2020-01-01,Rina Sawayama,0,7,0
2020-01-01,Romes,0,8,0
2020-01-01,Saint Motel,0,9,0
2020-01-01,Sakanaction,0,10,0
2020-01-01,Self,0,11,0
2020-01-01,Stella Jang,0,12,0
2020-01-01,Taichi Mukai,0,2,0
2020-01-01,Tame Impala,0,26,0
2020-01-01,The Dave Brubeck Quartet,0,15,0
2020-01-01,The Fearless Flyers,0,16,0
2020-01-01,The Knocks,0,17,0
2020-01-01,The Kooks,0,18,0
2020-01-01,The Shins,0,19,0
2020-01-01,The Strokes,0,20,0
2020-01-01,UNISON SQUARE GARDEN,0,21,0
2020-01-01,Vulfpeck,0,22,0
2020-01-01,Wednesday Campanella,0,23,0
2020-01-01,Yuki Hayashi,0,24,0
2020-01-01,フレデリック,0,25,0
2020-01-01,久石譲,0,54,0
2020-01-02,Anderson .Paak,0,15,0
2020-01-02,Antônio Carlos Jobim,0,29,0
2020-01-02,Arctic Monkeys,0,31,0
2020-01-02,Babu Santana,0,32,0
2020-01-02,Baco Exu do Blues,0,33,0
2020-01-02,Castlebeat,0,34,0
2020-01-02,Chico Buarque,0,35,0
2020-01-02,Chihiro Yamanaka,0,36,0
2020-01-02,Christian McBride,0,37,0
2020-01-02,Cory Wong,0,38,0
2020-01-02,Daft Punk,0,39,0
2020-01-02,Emicida,0,40,0
2020-01-02,Fitz and the Tantrums,0,41,0
2020-01-02,Foster the People,66,0,0
2020-01-02,Gen Hoshino,0,42,0
2020-01-02,Guru Woof Música Relaxante Para Crianças,0,43,0
2020-01-02,Hermeto Pascoal,0,44,0
2020-01-02,Hiromi,0,45,0
2020-01-02,J Rabbit,0,46,0
2020-01-02,Jamiroquai,0,47,0
2020-01-02,Jimi Hendrix,0,48,0
2020-01-02,Jimmy Ponder,0,49,0
2020-01-02,John Mayer,0,50,0
2020-01-02,KT Tunstall,0,51,0
2020-01-02,Kenshi Yonezu,0,52,0
2020-01-02,Khruangbin,0,53,0
2020-01-02,Kristen Bell,0,30,0
2020-01-02,Novos Baianos,0,28,0
2020-01-02,OKAMOTO'S,0,16,0
2020-01-02,Oscar Peterson,1,2,1
2020-01-02,Phoenix,0,5,0
2020-01-02,Pomplamoose,0,6,0
2020-01-02,Public Enemy,0,7,0
2020-01-02,Rage Against the Machine,0,8,0
2020-01-02,Red Hot Chili Peppers,1,3,1
2020-01-02,Rina Sawayama,0,9,0
2020-01-02,Romes,0,10,0
2020-01-02,Saint Motel,0,11,0
2020-01-02,Sakanaction,0,12,0
2020-01-02,Self,0,13,0
2020-01-02,Stella Jang,0,14,0
2020-01-02,Taichi Mukai,0,4,0
2020-01-02,Tame Impala,0,27,0
2020-01-02,The Dave Brubeck Quartet,0,17,0
2020-01-02,The Fearless Flyers,0,18,0
2020-01-02,The Knocks,4,1,0
2020-01-02,The Kooks,0,19,0
2020-01-02,The Shins,0,20,0
2020-01-02,The Strokes,0,21,0
2020-01-02,UNISON SQUARE GARDEN,0,22,0
2020-01-02,Vulfpeck,0,23,0
2020-01-02,Wednesday Campanella,0,24,0
2020-01-02,Yuki Hayashi,0,25,0
2020-01-02,フレデリック,0,26,0
2020-01-02,久石譲,0,54,0
2020-01-03,Anderson .Paak,0,16,0
2020-01-03,Antônio Carlos Jobim,0,43,0
2020-01-03,Arctic Monkeys,0,32,0
2020-01-03,Babu Santana,0,33,0
2020-01-03,Baco Exu do Blues,0,34,0
2020-01-03,Castlebeat,0,35,0
2020-01-03,Chico Buarque,0,36,0
2020-01-03,Chihiro Yamanaka,0,37,0
2020-01-03,Christian McBride,0,38,0
2020-01-03,Cory Wong,1,5,0
2020-01-03,Daft Punk,0,39,0
2020-01-03,Emicida,0,40,0
2020-01-03,Fitz and the Tantrums,0,41,0
2020-01-03,Foster the People,66,0,66
2020-01-03,Gen Hoshino,0,31,0
2020-01-03,Guru Woof Música Relaxante Para Crianças,0,42,0
2020-01-03,Hermeto Pascoal,0,44,0
2020-01-03,Hiromi,0,45,0
2020-01-03,J Rabbit,0,46,0
2020-01-03,Jamiroquai,13,1,0
2020-01-03,Jimi Hendrix,0,47,0
2020-01-03,Jimmy Ponder,0,48,0
2020-01-03,John Mayer,0,49,0
2020-01-03,KT Tunstall,0,50,0
2020-01-03,Kenshi Yonezu,0,51,0
2020-01-03,Khruangbin,0,52,0
2020-01-03,Kristen Bell,0,53,0
2020-01-03,Novos Baianos,0,29,0
2020-01-03,OKAMOTO'S,0,30,0
2020-01-03,Oscar Peterson,1,4,1
2020-01-03,Phoenix,0,28,0
2020-01-03,Pomplamoose,0,14,0
2020-01-03,Public Enemy,0,13,0
