,streak,name,date
0,21,AmarElo (Sample: Sujeito de Sorte - Belchior) - Emicida,2020-12-31 19:35:00
197,2,"Cananéia, Iguape e Ilha Comprida - Emicida",2020-12-26 17:26:00
319,2,北上のススメ - ネクライトーキー,2020-12-20 02:56:00
375,2,AmarElo (Sample: Sujeito de Sorte - Belchior) - Emicida,2020-12-19 00:57:00
421,2,A Ordem Natural das Coisas (feat. Mc Tha) - Emicida,2020-12-15 23:58:00
549,2,The Things We Do - Foster the People,2020-12-11 19:50:00
654,2,Sky Mall - Vulfpeck,2020-12-07 15:47:00
703,2,Meditation - Cory Wong,2020-12-03 13:17:00
972,2,Viva São Paulo! - Hermeto Pascoal,2020-11-18 13:52:00
1044,2,"Catch up, latency - UNISON SQUARE GARDEN",2020-11-12 18:04:00
1049,3,道 - Taichi Mukai,2020-11-12 17:33:00
1104,2,"Harder, Better, Faster, Stronger - Daft Punk",2020-11-10 11:48:00
1147,2,HandClap - Fitz and the Tantrums,2020-11-09 11:51:00
1261,2,リセット - Taichi Mukai,2020-10-30 18:41:00
1281,2,リセット - Taichi Mukai,2020-10-28 17:12:00
1367,2,リセット - Taichi Mukai,2020-10-26 13:28:00
1423,2,1 2 3 4 - Sungeun Lee,2020-10-25 10:57:00
1432,2,"Harder, Better, Faster, Stronger - Daft Punk",2020-10-25 09:11:00
1461,2,"Catch up, latency - UNISON SQUARE GARDEN",2020-10-23 00:40:00
1476,2,リセット - Taichi Mukai,2020-10-22 21:18:00
1484,2,"Harder, Better, Faster, Stronger - Daft Punk",2020-10-22 19:16:00
1496,2,LEVEL5 -Judgelight- - fripSide,2020-10-22 09:26:00
1636,2,道 - Taichi Mukai,2020-10-17 16:41:00
1711,2,リセット - Taichi Mukai,2020-10-15 16:50:00
1715,3,リセット - Taichi Mukai,2020-10-15 12:18:00
1725,2,Golden - Cory Wong,2020-10-14 17:41:00
1805,2,リセット - Taichi Mukai,2020-10-12 21:06:00
1844,2,"Harder, Better, Faster, Stronger - Daft Punk",2020-10-11 16:25:00
2022,2,In a Sweat ! - Yuki Hayashi,2020-10-04 22:22:00
2035,4,リセット - Taichi Mukai,2020-10-04 13:58:00
2080,2,リセット - Taichi Mukai,2020-10-02 15:07:00
2084,2,リセット - Taichi Mukai,2020-10-02 01:11:00
2086,2,In a Sweat ! - Yuki Hayashi,2020-10-02 00:52:00
2088,2,道 - Taichi Mukai,2020-10-02 00:32:00
2124,2,In a Sweat ! - Yuki Hayashi,2020-09-27 09:17:00
2501,2,Meditation (Meditacao) - Live - Joe Pass,2020-09-01 23:01:00
2613,2,Testify - Rage Against the Machine,2020-08-25 17:35:00
2644,2,Yo (Excuse Me Miss) - Chris Brown,2020-08-23 15:02:00
2675,2,Nocturne - Julian Lage,2020-08-21 14:24:00
2694,2,Open Your Eyes - Snow Patrol,2020-08-19 18:06:00
2717,2,パプリカ - Kenshi Yonezu,2020-08-18 14:16:00
2728,2,テイク・ファイヴ - Chihiro Yamanaka,2020-08-06 23:09:00
2745,2,Disco Ulysses (instrumental) - Vulfpeck,2020-08-06 22:33:00
2748,2,Lotus Eater - Foster the People,2020-08-05 23:05:00
2749,2,Worst Nites - Foster the People,2020-08-05 23:02:00
2756,2,Move - Saint Motel,2020-08-05 22:46:00
2787,2,Linus & Lucy - Recorded at Spotify Studios NYC - Anderson .Paak,2020-08-05 18:36:00
2792,2,McKinney - Cory Wong,2020-08-05 18:22:00
2809,2,Libertango - Live - Hiromi,2020-08-05 17:36:00
2810,2,Xote da Galinha - Yamandú Costa,2020-08-05 17:33:00
2949,2,Preach - Saint Motel,2020-07-28 17:54:00
2997,2,Kenni and the Jets - The Fearless Flyers,2020-07-26 13:33:00
3000,6,You Ain't The Problem - Michael Kiwanuka,2020-07-25 17:16:00
3040,2,YOLO - Stella Jang,2020-07-22 03:53:00
3067,2,Lose My Cool - Romes,2020-07-21 18:38:00
3079,24,Kenni and the Jets - The Fearless Flyers,2020-07-20 23:58:00
3241,4,ローザ - Chihiro Yamanaka,2020-07-16 22:13:00
3242,20,Lose My Cool - Romes,2020-07-16 18:10:00
3290,6,You Ain't The Problem - Michael Kiwanuka,2020-07-15 14:47:00
3407,2,Familiär - Agnes Obel,2020-07-10 00:50:00
3594,2,Anunciação - Alceu Valença,2020-07-05 20:48:00
3597,2,Goodbye (feat. Soap&Skin) - Apparat,2020-07-05 03:43:00
3713,2,The Wind Cries Mary - Jimi Hendrix,2020-06-24 19:16:00
3716,2,Love for Sale - Jimmy Ponder,2020-06-24 01:48:00
3947,2,Just The Two Of US - 山崎まさよし,2020-06-10 17:17:00
3970,2,Ooh La - The Kooks,2020-06-08 01:39:00
4001,2,Rebel Without a Pause - Public Enemy,2020-06-03 21:34:00
4017,2,Bulls on Parade - Rage Against the Machine,2020-06-01 22:02:00
